seed,est0,est1,est2,est3,est4,est5,est6,est7,est8,est9,hasMet,tau,nStep,nXstep,timeTaken
0,0.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.52
200,0.34,1.005,1.01,1.005,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.75
400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
1,0.365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.68
201,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.72
401,0.345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.81
2,0.095,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.72
202,0.495,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.62
402,-2.77,-3.205,-1.45,0.945,0.995,1.0,1.0,1.0,1.0,1.0,True,34,67,34,4.87
3,0.555,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.87
203,0.755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.46
403,1.86,2.585,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,18,35,18,2.27
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.05
204,0.615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.58
404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
205,0.455,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.64
405,0.115,0.965,0.985,0.99,0.995,1.0,1.0,1.0,1.0,1.0,True,9,17,9,1.0
6,0.34,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.6
206,0.395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.6
406,0.525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.71
7,0.755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.61
207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
8,-0.83,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,0.94
208,-0.04,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.6
408,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.53
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.05
209,0.525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.47
409,-9.645,-10.7,0.905,0.99,1.0,1.0,1.0,1.0,1.0,1.0,True,56,111,56,7.86
10,0.305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.76
210,0.305,0.99,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.75
410,0.555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.53
11,0.12,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.94
211,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2,3,2,0.14
411,0.665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.64
12,0.45,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.63
212,0.645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.48
412,0.675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,11,21,11,1.22
13,0.455,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.49
213,0.605,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.5
413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
14,5.555,11.76,14.68,1.045,1.0,1.0,1.0,1.0,1.0,1.0,True,120,239,120,17.54
214,-0.075,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.85
414,0.785,0.995,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.88
15,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.6
215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
415,0.32,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.74
16,-0.035,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.69
216,0.645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.51
416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
17,0.875,1.035,1.005,1.005,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.55
217,0.435,1.0,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.67
