seed,est0,est1,est2,est3,est4,est5,est6,est7,est8,est9,hasMet,tau,nStep,nXstep,timeTaken
0,0.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,1.38
200,0.34,1.005,1.01,1.005,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,2.3
400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
1,0.365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.77
201,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,2.17
401,0.345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,2.29
2,0.095,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,1.89
202,0.495,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.79
402,-9.625,-14.795,-9.73,0.93,0.99,1.0,1.0,1.0,1.0,1.0,True,81,161,81,47.06
3,0.565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,3.07
203,0.755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,1.15
403,0.65,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,10,19,10,3.86
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
204,0.615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.4
404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
205,0.455,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.83
405,0.115,0.97,0.985,0.99,0.995,1.0,1.0,1.0,1.0,1.0,True,9,17,9,3.24
6,0.34,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.47
206,0.395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.54
406,0.525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,1.65
7,0.755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.63
207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
8,-0.83,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,2.61
208,-0.04,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.58
408,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,1.53
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
209,0.525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,1.22
409,-9.645,-10.715,0.91,0.99,1.0,1.0,1.0,1.0,1.0,1.0,True,56,111,56,24.76
10,0.305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,2.19
210,0.305,0.99,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,2.23
410,0.555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,1.54
11,0.115,0.98,0.995,0.995,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,3.23
211,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2,3,2,0.32
411,0.665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.78
12,0.45,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,1.67
212,0.645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,1.17
